srpphat.min_freq,srpphat.max_freq,detection_rate,mean_angular_error_deg,std_angular_error_deg,max_angular_error_deg,min_angular_error_deg,mean_psr_db,std_psr_db,mean_beamwidth_deg,n_detected,n_total,n_frames,effective_snr_db,run_time_s,config_hash
0,1500,0.8150537634408602,6.188711210694234,3.737321794369749,11.477150098898607,0.1127469565615347,0.2623906793393053,0.09002402688128025,34.24117823472639,379,465,465,14.35,13.039,2edc17578bd4
0,2000,0.8903225806451613,5.515021551693643,3.860504513788068,11.38251397507053,0.10287219275885437,0.3635629153907924,0.12287775213226394,29.758153094916356,414,465,465,14.35,13.736,8013e5df8201
0,3000,0.6430107526881721,3.7514389627698193,3.066925864947826,10.710902796094466,0.10287219275885437,0.44272069917691337,0.16960500498800135,30.415015896653642,299,465,465,14.35,14.545,6e1db64bf898
300,1500,1.0,6.092313578958011,3.974860907072287,11.525629151079789,0.10287219275885437,0.33161254983370647,0.1138119891358131,27.986368060321528,465,465,465,14.35,13.153,e8eb9dae76bf
300,2000,1.0,6.0769324330805885,3.9861869683766002,11.52432464702362,0.10287219275885437,0.4424652479647232,0.14758250743941972,24.606803525020208,465,465,465,14.35,13.671,48a526a88dee
300,3000,0.9978494623655914,6.097375414437105,3.990929217099172,12.271191517657737,0.10287219275885437,0.5154188933779282,0.18441289806498315,23.813947099730097,464,465,465,14.35,14.743,35a17f1c6156
500,1500,1.0,6.097865959172134,3.9619957109132513,11.52774881305156,0.1127469565615347,0.39432359479682233,0.1387680827448943,24.47398708204699,465,465,465,14.35,12.116,55dc9ab0aef7
500,2000,1.0,6.07641302631252,3.9750640764164853,11.133163324681476,0.10287219275885437,0.5302322091035612,0.1831590624059715,21.671064684935672,465,465,465,14.35,13.937,d4b00c77a5c5
500,3000,0.9978494623655914,6.071809932229003,3.9984283610628624,11.519432100839367,0.10482022324515697,0.60675068887124,0.21222408971064047,20.90109197177994,464,465,465,14.35,15.858,a811a187effd
700,1500,1.0,6.080783932087765,3.991146817073807,11.502300037259172,0.10287219275885437,0.4762783419914135,0.16887266622712938,21.983265659402697,465,465,465,14.35,12.71,ae873c56cba0
700,2000,1.0,6.0751601371863595,4.001570599403516,11.360848123615963,0.10287219275885437,0.6133348178916403,0.20145065995552086,19.603586281379908,465,465,465,14.35,12.757,5b692388b235
700,3000,0.9139784946236559,5.665719719107257,3.896132044473842,11.52921615737153,0.10287219275885437,0.6703433660255551,0.2439206341392298,20.179099763414563,425,465,465,14.35,13.592,82f04c556df2
